"id","age","SensSeek","RiskDriv"
1,50,0.4674,1.2412
2,42,1.595,-0.1233
3,43,-1.4089,0.7718
4,46,1.2542,0.5825
5,50,-1.333,0.9187
6,41,1.5804,1.027
7,50,1.0681,-0.2364
8,50,-0.3528,-0.3188
9,47,-0.6355,-0.5986
10,47,0.2619,-1.9923
11,40,-1.4971,-0.0834
12,41,-0.4087,-1.9108
13,41,0.6326,1.0828
14,47,0.2851,0.949
15,44,-0.2612,-0.076
16,48,0.2771,0.1177
17,45,-0.412,-0.1468
18,48,2.5275,1.0937
19,51,-0.051,-1.1287
20,44,0.7064,-0.7878
21,48,-0.8744,1.2455
22,50,-0.5463,1.4633
23,42,-0.3042,0.0482
24,47,-0.8222,-2.4763
25,41,-0.9346,-0.9396
26,42,-0.748,1.2801
27,44,0.3109,-0.3273
28,39,-1.2329,-0.1623
29,44,0.5675,-0.7393
30,49,-1.0668,-0.142
31,43,0.8209,-0.4615
32,45,-0.2306,-1.8831
33,46,0.9133,-0.3705
34,45,0.7677,-0.3992
35,41,0.6593,-0.5625
36,49,-0.4831,0.5115
37,47,0.1449,0.2368
38,49,-0.2641,-0.6985
39,40,0.6405,-0.8172
40,48,1.174,-0.189
41,44,1.3315,0.3015
42,49,0.8578,-0.6445
43,47,0.2133,-0.388
44,48,-0.9929,-0.36
45,46,-0.2742,-1.858
46,45,-1.5774,0.3951
47,48,1.8098,0.0503
48,39,0.6374,0.5079
49,45,-1.7525,1.4269
50,48,-0.9125,0.2824
51,47,-0.1416,-0.4799
52,45,1.3202,0.1586
53,49,-0.5953,0.1863
54,44,0.9399,0.9231
55,42,0.731,0.2281
56,40,0.7504,1.1768
57,40,-0.3197,-0.9755
58,43,-1.7773,1.7897
59,45,-1.7804,0.4739
60,47,-0.0808,0.9652
61,44,-0.3897,0.5672
62,50,0.1549,-0.5734
63,43,0.4856,1.674
64,45,0.4037,-0.064
65,43,1.4153,0.0628
66,47,-0.6834,1.8431
67,42,0.0471,-1.1992
68,45,-0.2595,-0.6542
69,48,0.4471,-0.378
70,40,-0.203,-1.4736
