"id","age","SensSeek","RiskDriv"
1,43,12,35
2,37,13,34
3,41,9,27
4,36,5,39
5,36,12,28
6,35,8,19
7,37,11,42
8,39,14,38
9,43,8,44
10,38,11,36
11,36,6,29
12,41,15,50
13,45,17,37
14,39,6,37
15,35,9,21
16,44,12,33
17,35,12,22
18,43,8,29
19,36,10,33
20,44,13,21
21,40,15,27
22,41,11,38
23,44,8,24
24,44,18,29
25,35,12,31
26,40,14,42
27,38,6,14
28,44,14,38
29,40,12,27
30,39,7,38
31,35,10,32
32,37,10,35
33,39,1,35
34,35,7,35
35,39,11,29
36,37,14,33
37,44,8,30
38,37,11,28
39,43,6,35
40,43,9,36
41,35,5,23
42,40,4,21
43,36,6,27
44,37,4,18
45,37,14,41
46,36,15,42
47,34,5,11
48,37,13,25
49,35,15,35
50,39,4,21
51,43,7,32
52,35,8,30
53,38,8,37
54,38,13,27
55,43,12,33
56,40,19,33
57,43,11,42
58,44,10,23
59,37,14,32
60,40,9,45
61,38,11,40
62,41,12,24
63,46,3,19
64,36,18,38
65,38,12,35
66,43,13,46
67,41,10,46
68,40,10,34
69,44,12,41
70,43,14,32
71,39,14,31
72,45,15,32
73,41,12,45
74,41,9,16
75,35,5,14
76,39,5,34
77,46,11,36
78,37,12,19
79,37,8,29
80,37,12,30
81,35,5,29
82,36,11,21
83,37,6,36
84,42,6,24
85,46,12,48
86,35,5,17
87,34,13,37
88,34,5,15
89,39,5,22
90,37,15,37
91,35,11,30
92,44,11,38
93,36,10,37
94,41,16,22
95,40,13,19
96,38,10,35
97,42,8,13
98,43,3,25
99,45,6,22
100,38,11,31
101,38,15,23
102,39,12,27
103,42,6,31
104,40,11,43
105,34,13,23
106,44,6,31
107,41,10,41
108,45,8,13
109,45,12,29
110,45,10,32
111,42,14,34
112,44,7,17
113,40,10,35
114,42,12,36
115,39,3,37
116,46,18,40
117,37,10,32
118,46,18,38
119,42,11,23
120,45,12,32
121,42,5,28
122,39,12,46
123,45,10,26
124,36,16,34
125,34,10,34
126,41,7,37
127,40,13,44
128,37,11,32
129,37,10,15
130,41,8,20
131,39,6,32
132,37,14,46
133,39,7,14
134,44,9,30
135,37,18,42
136,46,6,42
137,41,14,39
138,44,18,35
139,37,12,39
140,43,13,32
141,35,6,18
142,40,3,19
143,44,4,28
144,46,13,25
145,39,4,41
146,40,12,43
147,39,15,22
148,45,11,17
149,40,8,26
150,45,4,16
151,35,14,42
152,41,3,22
153,43,17,28
154,34,11,43
155,42,15,37
156,38,11,30
157,35,2,37
158,42,10,43
159,41,11,30
160,35,7,25
161,39,12,28
162,35,14,34
163,44,7,37
164,41,11,38
165,39,8,33
166,34,13,33
167,41,5,32
168,41,5,28
169,45,7,27
170,39,15,38
171,46,11,24
172,37,12,21
173,36,16,29
174,40,11,25
175,39,17,47
176,40,13,32
177,35,14,44
178,41,11,35
179,42,6,16
180,41,14,39
181,41,11,35
182,38,8,19
183,37,7,42
184,41,11,42
185,36,8,22
186,45,5,23
187,46,9,42
188,43,7,24
189,40,13,35
190,45,18,27
191,41,13,36
192,39,11,32
193,36,8,16
194,43,11,33
195,45,13,26
196,42,5,28
197,45,9,29
198,37,7,22
199,41,10,33
200,36,6,14
201,40,10,26
202,46,11,35
203,44,6,16
204,36,6,26
205,39,10,23
206,44,14,38
207,39,16,45
208,39,13,23
209,34,5,25
210,36,7,36
211,42,10,28
212,35,13,28
213,46,9,23
214,35,11,37
215,42,6,18
216,34,12,13
217,35,3,32
218,39,8,44
219,44,16,21
220,44,11,18
221,43,10,22
222,37,13,43
223,42,5,26
224,46,17,30
225,40,16,39
226,39,4,26
227,43,15,42
228,36,8,30
229,38,15,41
230,39,5,37
231,35,5,18
232,37,2,34
233,43,11,21
234,38,16,26
235,41,12,27
236,40,7,17
237,44,15,35
238,40,11,30
239,35,12,20
240,43,15,33
241,35,9,48
242,42,6,29
243,35,6,20
244,43,1,29
245,43,10,39
246,41,6,33
247,44,13,35
248,37,16,44
249,37,12,43
250,42,10,22
251,39,5,18
252,42,15,43
253,35,16,40
254,38,7,26
255,44,11,46
256,38,9,45
257,35,15,31
258,44,8,26
259,41,12,28
260,45,8,28
261,43,14,36
262,41,7,33
263,40,14,38
264,38,9,33
265,41,5,24
266,45,17,29
267,37,10,35
268,35,7,26
269,37,9,22
270,36,11,16
271,40,12,26
272,44,16,33
273,40,9,41
274,36,7,31
275,39,11,39
276,44,4,20
277,45,13,33
278,36,16,36
279,38,14,36
280,42,4,34
281,46,7,28
282,39,9,27
283,36,6,21
284,44,15,39
285,44,2,24
286,45,10,27
287,42,11,25
288,40,9,31
289,35,9,32
290,43,12,42
291,45,10,23
292,34,16,44
293,35,13,35
294,39,15,34
295,36,7,14
296,35,11,18
297,37,10,31
298,41,9,21
299,36,7,22
300,40,16,37
301,38,1,26
302,39,4,33
303,37,14,30
304,39,4,39
305,40,9,19
306,44,13,46
307,38,10,34
308,39,5,15
309,34,11,23
310,46,13,44
311,38,14,46
312,34,15,30
313,38,8,34
314,42,2,19
315,37,17,36
316,46,13,15
317,35,12,32
318,36,7,20
319,37,13,32
320,37,1,20
321,45,17,45
322,38,6,27
323,39,12,35
324,40,1,24
325,37,9,35
326,39,16,46
327,39,17,30
328,38,11,35
329,34,6,31
330,46,10,28
331,35,15,50
332,41,7,30
333,43,11,21
334,44,6,30
335,41,6,23
336,34,12,31
337,38,10,31
338,44,13,40
339,40,11,34
340,45,5,22
341,46,9,28
342,38,8,35
343,34,13,49
344,39,7,22
345,43,9,29
346,45,11,38
347,43,8,26
348,40,10,24
349,43,6,29
350,44,1,26
351,44,1,15
352,43,8,32
353,39,9,16
354,39,11,30
355,44,16,29
356,39,7,25
357,42,13,23
358,35,5,31
359,44,9,32
360,34,8,22
361,35,4,32
362,40,14,34
363,42,11,20
364,41,13,36
365,45,9,35
366,38,12,19
367,41,10,22
368,43,8,38
369,36,9,22
370,42,10,45
371,45,7,33
372,38,7,28
373,34,10,26
374,40,13,27
375,35,10,32
376,45,5,23
377,37,14,43
378,41,3,21
379,38,6,33
380,43,13,40
381,45,13,24
382,42,8,21
383,34,6,33
384,45,8,20
385,40,12,40
386,46,13,34
387,39,6,35
388,36,7,22
389,43,6,22
390,38,16,37
391,41,16,29
392,41,3,16
393,35,10,31
394,39,14,49
395,38,10,17
396,39,6,16
397,38,10,10
398,43,6,35
399,45,6,26
400,37,12,39
401,44,2,29
402,34,6,30
403,45,11,40
404,46,10,27
405,44,6,32
406,42,12,26
407,38,9,28
408,44,5,34
409,44,8,37
410,39,13,12
411,44,12,32
412,40,8,34
413,41,12,27
414,34,8,29
415,45,10,37
416,42,7,28
417,41,8,25
418,42,14,27
419,45,10,33
420,36,10,19
421,39,9,21
422,38,3,24
423,39,8,35
424,45,12,35
425,43,12,41
426,42,13,36
427,42,17,42
428,39,10,41
429,35,6,11
430,42,14,20
431,37,10,30
432,35,12,28
433,36,9,30
434,45,18,42
