"id","age","SensSeek","RiskDriv"
1,33,26,13
2,30,63,18
3,25,65,12
4,33,43,3
5,29,51,9
6,36,45,1
7,27,50,8
8,34,2,5
9,25,73,15
10,35,24,10
11,30,35,10
12,25,57,7
13,28,39,16
14,34,64,12
15,27,73,10
16,31,38,8
17,34,44,2
18,25,31,11
19,32,49,12
20,32,39,6
21,30,55,8
22,29,18,8
23,31,64,7
24,35,65,8
25,27,42,11
26,27,53,8
27,29,75,17
28,28,67,12
29,34,56,17
30,26,26,8
31,30,81,5
32,29,86,11
33,31,32,13
34,32,8,4
35,36,69,9
36,27,31,1
37,27,22,10
38,34,83,13
39,34,38,16
40,25,48,18
41,36,74,7
42,26,59,7
43,26,49,4
44,35,71,17
45,30,68,7
46,26,63,3
47,28,40,17
48,32,57,16
49,28,75,18
50,28,47,6
51,26,43,8
52,32,34,10
53,26,60,5
54,35,45,8
55,35,42,9
56,35,69,16
57,33,29,9
58,28,26,12
59,33,61,13
60,24,83,11
61,35,40,6
62,36,62,4
63,28,48,14
64,33,51,17
65,34,46,9
66,32,35,3
67,30,68,18
68,30,75,15
69,28,41,6
70,32,34,13
71,34,27,2
72,29,46,15
73,30,87,14
74,32,16,5
75,26,24,9
76,28,55,4
77,29,32,8
78,25,16,3
79,35,51,14
80,34,31,3
81,35,51,10
82,35,43,16
83,25,44,10
84,29,56,15
85,30,53,9
86,25,51,5
87,34,63,12
88,33,58,5
89,25,98,10
90,30,34,13
91,35,79,10
92,24,77,6
93,28,2,2
94,30,25,5
95,31,50,7
96,27,57,10
97,29,14,2
98,28,55,16
99,35,29,10
100,25,58,3
101,25,18,5
102,36,16,6
103,29,42,12
104,28,87,6
105,26,16,3
106,25,11,11
107,32,50,14
108,31,64,4
109,36,97,14
110,31,67,16
111,25,64,12
112,26,37,12
113,30,52,12
114,24,35,8
115,29,60,13
116,27,75,16
117,35,84,11
118,33,10,13
119,26,37,2
120,30,48,10
121,32,66,10
122,30,52,18
123,35,15,8
124,33,64,10
125,29,52,11
126,25,58,17
127,27,21,15
128,34,39,9
129,29,42,4
130,30,53,6
131,32,19,14
132,33,98,13
133,26,57,20
134,34,50,9
135,35,36,5
136,31,14,4
137,30,48,14
138,26,26,7
139,24,98,13
140,35,29,8
141,26,46,12
142,24,97,20
143,35,42,4
144,28,84,5
145,26,33,5
146,29,69,9
147,30,43,5
148,29,64,8
149,30,50,8
150,34,32,5
151,25,40,12
152,31,56,16
153,32,87,14
154,32,28,4
155,32,40,10
156,30,54,17
157,36,30,6
158,29,25,0
159,34,29,7
160,33,33,6
161,30,28,15
162,34,38,9
163,30,63,9
164,24,48,7
165,33,64,10
166,33,40,9
167,26,70,15
168,32,25,10
169,31,51,12
170,28,38,6
171,32,66,8
172,34,41,11
173,33,20,4
174,28,45,10
175,26,58,17
176,29,40,17
177,35,65,8
178,34,11,10
179,33,82,12
180,35,48,11
181,36,38,9
182,31,83,15
183,24,19,11
184,28,65,9
185,27,66,16
186,25,83,16
187,25,56,6
188,28,27,12
189,28,82,6
190,26,67,11
191,31,70,6
192,29,72,15
193,35,45,10
194,32,51,5
195,28,52,14
196,26,23,1
197,25,49,13
198,36,57,12
199,29,36,11
200,31,41,4
201,33,41,9
202,34,83,14
203,31,55,4
204,24,10,3
205,35,42,17
206,33,49,6
207,29,43,8
208,25,20,7
209,25,49,10
210,34,38,17
211,34,29,10
212,32,13,14
213,26,66,15
214,28,60,6
215,33,38,10
216,35,50,5
217,32,79,11
218,27,33,6
219,32,54,15
220,27,61,14
221,35,31,10
222,26,54,15
223,29,71,13
224,27,88,6
225,25,87,17
226,34,3,8
227,30,27,6
228,32,41,2
229,29,58,10
230,34,88,13
231,33,81,16
232,28,50,14
233,35,56,15
