"id","age","SensSeek","RiskDriv"
1,22,15,19
2,24,9,13
3,29,16,14
4,20,6,15
5,21,12,19
6,28,5,13
7,27,16,21
8,20,13,15
9,27,12,16
10,29,5,10
11,30,8,16
12,23,17,17
13,27,8,20
14,19,8,14
15,19,10,16
16,25,13,17
17,23,12,10
18,19,7,12
19,23,13,23
20,19,2,12
21,22,4,14
22,18,7,17
23,22,8,13
24,21,9,15
25,29,15,18
26,22,5,11
27,22,12,20
28,28,17,24
29,23,13,17
30,21,11,11
31,29,4,12
32,29,11,20
33,22,8,21
34,19,14,16
35,20,9,15
36,20,8,17
37,24,10,14
38,20,7,19
39,25,16,15
40,19,13,15
41,29,12,16
42,21,6,11
43,18,6,15
44,23,10,17
45,24,10,19
46,21,10,12
