"id","age","SensSeek","RiskDriv"
1,24,-0.1713,5
2,28,-0.5448,1
3,26,-1.7062,12
4,36,0.3473,18
5,31,0.2382,9
6,29,0.057,4
7,34,0.1136,10
8,26,0.7174,13
9,26,2.6884,12
10,28,0.614,11
11,29,-0.8675,6
12,25,0.9848,19
13,31,0.6855,8
14,25,-0.1272,19
15,35,0.4017,17
16,31,-1.6668,3
17,26,1.5814,15
18,30,-0.3075,11
19,25,-1.3943,10
20,28,-0.7214,14
21,24,-0.0283,11
22,29,0.4541,8
23,33,-0.7241,12
24,29,0.6875,17
25,30,1.1916,12
26,29,0.8646,9
27,33,-0.4123,7
28,36,0.8521,15
29,29,0.7067,12
30,27,0.226,6
31,32,0.0576,6
32,33,-0.6492,11
33,31,-0.5005,11
34,28,0.1449,12
35,30,1.1073,12
36,26,0.2775,10
37,27,-0.7859,2
38,26,-0.188,14
39,35,1.9113,10
40,31,-0.9565,5
41,28,-1.4456,3
42,27,1.016,11
43,33,-1.6702,15
44,31,-0.781,17
45,31,0.0849,8
46,32,1.2142,17
47,36,0.8278,15
48,33,0.3044,14
49,33,0.4341,14
50,26,1.1706,12
51,28,2.1374,9
52,35,-0.5285,5
53,30,0.9666,17
54,24,-0.8659,4
55,29,-1.9749,3
56,24,0.2757,7
57,24,0.4111,13
58,34,0.0755,13
59,35,0.4544,12
60,35,0.6612,8
61,34,-1.1389,11
62,25,0.1647,10
63,27,2.2195,14
64,32,0.1505,7
65,32,0.3688,12
66,25,0.8776,10
67,31,2.0351,10
68,35,-0.3458,4
69,26,-0.2484,8
70,30,0.2081,11
71,35,-1.1536,12
72,29,0.5331,9
73,29,0.286,7
74,28,-0.4143,5
75,31,-1.8838,6
76,25,1.1732,11
77,32,0.1726,10
78,34,-0.4957,17
79,26,-1.2194,1
80,30,1.3541,12
81,26,0.5453,10
82,32,0.5096,4
83,30,0.3502,12
84,26,1.3814,6
85,33,0.7528,11
86,28,0.9314,10
87,30,0.5401,9
88,31,-0.4899,13
89,33,-0.8809,9
90,24,-0.5776,16
91,32,-1.0036,11
92,26,1.0215,15
93,32,0.4428,9
94,27,1.092,16
95,25,-0.4436,9
96,33,-0.0065,8
97,33,1.5246,9
98,26,0.5538,16
99,27,-0.4958,4
100,26,1.3979,10
101,28,0.9006,14
102,32,-0.1397,7
103,29,0.0699,15
104,27,-0.313,7
105,25,-1.0557,11
106,34,-0.3067,10
107,30,-0.6936,8
108,25,1.3581,15
109,28,-0.6905,13
110,28,-0.106,7
111,27,-1.0086,3
112,27,-0.0601,11
113,27,-0.7617,8
114,28,-1.4431,13
115,35,-0.2684,8
116,33,-1.8467,6
117,25,0.407,12
118,33,-0.6708,14
119,29,0.0257,13
